what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1415035503409
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415035506709
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415035508765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415035534109
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415035583729
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415035585897
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415035587509
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415035587782
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415035626259
activated,editor,com.android.ide.eclipse.adt,23.0.2.1259578,"com.android.ide.eclipse.editors.CommonXmlEditor",1415035626808
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415035627257
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415035656506
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1415035656530
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1415035657740
opened,editor,com.android.ide.eclipse.adt,23.0.2.1259578,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1415035658482
activated,editor,com.android.ide.eclipse.adt,23.0.2.1259578,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1415035658666
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1415035659476
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1415035659490
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1415035659511
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1415035659531
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1415035659544
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415035664511
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415035665999
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415035669651
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415035672564
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415035674057
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415035680797
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415035684704
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415035686600
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415035687322
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415035689146
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1415035698728
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1415035700298
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1415035701476
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415035702688
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415035710069
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1415035711704
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1415035712009
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415035714271
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415035716980
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1415035716997
activated,editor,com.android.ide.eclipse.adt,23.0.2.1259578,"com.android.ide.eclipse.editors.CommonXmlEditor",1415035719941
activated,editor,com.android.ide.eclipse.adt,23.0.2.1259578,"com.android.ide.eclipse.editors.CommonXmlEditor",1415035720996
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415035721637
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415035865351
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1415035867341
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1415035872394
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415035879289
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415035884598
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415035887413
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1415035890770
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1415035894105
